effective_date,code,ticker,company_name,market,sector_33_code,sector_33,sector_17_code,sector_17,scale_category_code,scale_category,is_financial,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days,daily_return_mean,annual_volatility,max_drawdown,return_12m_ex_1m,cumulative_return,price_history_days,company_name_ja,revenue,operating_income,ordinary_income,net_income,total_assets,equity,operating_cf,investing_cf,financing_cf,rd_expense,capex,employees,revenue_growth,operating_income_growth,operating_margin,roe,equity_ratio,ocf_margin,rd_ratio,capex_ratio,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda,dividend_yield_clean,pe_for_score,pbr_for_score,is_financial_like,ordinary_margin,net_margin,profitability_score,cash_generation_score,stability_score,competitive_position_score,score_treatment,moat_score,moat_component_profitability,moat_component_cashflow,moat_component_stability,moat_component_competitive_position,transformation_score,transformation_component_valuation_gap,transformation_component_capital_efficiency,transformation_component_shareholder_return,transformation_component_reform_signal,ai_infrastructure_exposure,automation_exposure,data_software_exposure,trust_security_exposure,intangible_investment_score,future_moat_component_ai_infrastructure,future_moat_component_intangible_asset,future_moat_component_automation,future_moat_component_data,future_moat_component_trust,future_moat_score,future_moat_category_flags,future_moat_keyword_evidence,valuation_score,bb_score,momentum_score,risk_score,adjusted_bb_score,price_available,liquid_20m_60d,operating_loss_years_3y,operating_income_years_available,ordinary_loss_years_3y,ordinary_income_years_available,net_loss_years_3y,net_income_years_available,negative_ocf_years_3y,operating_cf_years_available,investment_exclusion_reasons,investment_eligible,score_calculation_target,moat_rank,moat_percentile,transformation_rank,transformation_percentile,future_moat_rank,future_moat_percentile,valuation_rank,valuation_percentile,momentum_rank,momentum_percentile,risk_rank,risk_percentile,adjusted_bb_rank,adjusted_bb_percentile,category,score_rank,sh_xbrl,sh_fy,shares_used,shares_source,mc,per,pbr,earnings_to_price,book_to_market,valuation_implausible,moat_p,change_p,future_p
20260430,9022,9022.T,Central Japan Railway Company,Prime Market (Domestic),5050,Land Transportation,12,TRANSPORTATION & LOGISTICS,2,TOPIX Large70,False,2026-06-01,3386.0,3386.0,2912500.0,11293249795.0,1222.0,0.0001721863958815,0.2327191119661347,-0.3030610509381947,0.2862562232403768,0.0821336008655786,1222.0,東海旅客鉄道株式会社,2033041000000.0,703824000000.0,649294000000.0,464391000000.0,10640544000000.0,4658550000000.0,624550000000.0,,-95532000000.0,,,29144.0,0.1273747952625106,0.3708956092729525,0.3461927231177334,0.0996857391248349,0.437811262281327,0.307199903986196,,,3234494414848.0,7828844576768.0,5.930986,7.976067,0.6381434,0.92,0.159,955255309.0,1036102991872.0,0.92,5.930986,0.6381434,False,0.319370834134678,0.2284218567161213,0.4129531939655757,0.922849052785838,0.8036868230498782,0.6957943761301352,general_operating_margin_ocf_leverage_quality,0.6751421209204138,0.4129531939655757,0.922849052785838,0.8036868230498782,0.6957943761301352,1.8758957916284469,2.6011512534609076,0.3647081800896473,3.002258106600157,0.4710299941417115,0.0,0.0,0.0,0.0,0.0,-0.5452650101398884,0.0,-0.4374900164137864,-0.6316485798498609,-0.6525572050265103,-0.411080513804854,,,2.760599394025213,0.9622823391455616,-0.0092720993553059,-0.7836871543015949,1.0397238446401904,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,,True,True,62.0,0.9689251146204788,2.0,0.999490575649516,1074.0,0.2269485481406011,2.0,0.999490575649516,842.0,0.5715741212429954,1625.0,0.1726948548140601,1.0,1.0,Transformation Moat,1,984918200.0,2025,955255309.0,yfinance,3234494476274.0,6.965024034216856,0.6943135688731472,0.14357452251238922,1.4402714347394563,False,68.3596751208641,80.75073952112518,22.69485481406011
20260430,7181,7181.T,"JAPAN POST INSURANCE Co.,Ltd.",Prime Market (Domestic),7150,Insurance,16,FINANCIALS (EX BANKS),4,TOPIX Mid400,True,2026-06-01,1406.0,1406.0,3698000.0,4113656849.5731606,1222.0,0.0008755224106573,0.2836457749213805,-0.2356125904528369,0.499547457469029,1.392947361794664,1222.0,株式会社かんぽ生命保険,,,170981000000.0,124093000000.0,59555692000000.0,3242487000000.0,-1627842000000.0,,60143000000.0,,,18656.0,,,,0.0382709321579392,0.0544446196679236,,,,1523559038976.0,4389452906496.0,9.217859,6.1392016,0.36680195,3.5,0.051,1083612396.0,235690000384.0,0.035,9.217859,0.36680195,True,,,1.2273751865092322,0.0942839489675652,0.1676042809382087,1.3742572226929417,financial_sector_relative_roe_profit_stability_valuation,0.7615246032463526,1.2273751865092322,0.0942839489675652,0.1676042809382087,1.3742572226929417,1.542954843810575,2.5129228508307184,-0.4348484049621836,-0.1911714853066774,-0.3025275512130793,0.0,0.0,0.0,1.0986122886681098,0.0,-0.5452650101398884,0.0,-0.4374900164137864,-0.6316485798498609,1.5320127409750823,-0.1926235192046947,セキュリティ・監査・信頼,"trust_security: security, cyber, inspection, quality, testing, audit",2.027106144727151,0.8604749578742137,0.3698993353137712,-0.7858874466744611,0.976053636073037,True,True,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,,True,True,38.0,0.9811512990320936,3.0,0.998981151299032,1064.0,0.456444218033622,3.0,0.998981151299032,516.0,0.7376464595007641,1626.0,0.1721854304635761,2.0,0.999490575649516,Transformation Moat,2,383181100.0,2025,1083612396.0,yfinance,1523559028776.0,12.277558192452435,0.46987359664849854,0.0814494205056788,2.1282319481936685,False,8.176260825267448,,45.6444218033622
20260430,9501,9501.T,"Tokyo Electric Power Company Holdings,Incorporated",Prime Market (Domestic),4050,Electric Power and Gas,11,ELECTRIC POWER & GAS,4,TOPIX Mid400,False,2026-06-01,558.9000244140625,558.9000244140625,32028700.0,35605341998.17322,1222.0,0.0008460238439197,0.469940697789284,-0.6648306887521163,0.4121170694053112,0.6535503680889423,1222.0,東京電力ホールディングス株式会社,8917288000000.0,234452000000.0,403481000000.0,161846000000.0,21346787000000.0,3786130000000.0,361249000000.0,,194169000000.0,,,38074.0,-0.0404651953427093,-0.159236308345526,0.0262918501678985,0.0427470794716504,0.177362991442225,0.0405110836388821,,,895750242304.0,6608599908352.0,,2.6368184,0.26426095,,-0.008,1602702047.0,726727983104.0,,2.6368184,0.26426095,False,0.0452470526913563,0.0181496885600195,-0.6045854679117583,-0.027293645851091,-0.6848251458774542,-0.1679369105621948,general_operating_margin_ocf_leverage_quality,-0.3889807365198179,-0.6045854679117583,-0.027293645851091,-0.6848251458774542,-0.1679369105621948,2.040370881651407,3.863550910303462,-0.5935411964318268,0.0,-0.734089943681518,1.0986122886681098,0.0,0.0,0.0,0.0,1.6228956389961116,0.0,-0.4374900164137864,-0.6316485798498609,-0.6525572050265103,0.2393676809359459,半導体・光通信・データセンター・電力,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter",3.2217824040371363,0.9484761643432604,0.2144728556664387,0.830335228733784,0.8868899270365259,True,True,1.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,,True,True,1892.0,0.0366785532348446,1.0,1.0,305.0,0.7862964849719817,1.0,1.0,628.0,0.6805909322465614,294.0,0.8507386653082017,3.0,0.998981151299032,Transformation Moat,4,3539688731.0,2025,1602702047.0,yfinance,895750213196.768,5.534583574489131,0.23658728390117822,0.1806820669597179,4.226769856395565,True,13.579500595676029,10.544538706256628,78.62964849719816
20260430,3449,3449.T,TECHNOFLEX CORPORATION,Standard Market(Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS,-,,False,2026-06-01,6830.0,6830.0,139100.0,702634568.3333334,1222.0,0.0018707996551113,0.2655215031428141,-0.1479896961605018,4.048340451063108,7.294320707569151,1222.0,株式会社テクノフレックス,26608142000.0,4609699000.0,3924174000.0,3123183000.0,38995023000.0,25688017000.0,5219019000.0,,-2332487000.0,,,809.0,0.1135524323034233,0.5250105424428597,0.173243926614643,0.121581319414418,0.6587511693479448,0.1961436841399899,,,,,,,,,,,,,,,False,0.1474801960993744,0.1173769667945999,0.4045510372478811,0.5271847115222237,0.5978592137853305,0.2288332041956985,general_operating_margin_ocf_leverage_quality,0.4387275245135201,0.4045510372478811,0.5271847115222237,0.5978592137853305,0.2288332041956985,0.1190728255299944,0.0,0.5071393258128266,0.0,0.595364127649972,1.0986122886681098,0.0,0.0,0.0,0.0,1.6228956389961116,0.0,-0.4374900164137864,-0.6316485798498609,-0.6525572050265103,0.2393676809359459,半導体・光通信・データセンター・電力,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter",0.0,0.2331967680173384,5.109614166478054,-1.0533377501226089,0.8494919596774049,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,,True,True,168.0,0.9149261334691798,308.0,0.8436067244014264,305.0,0.7862964849719817,62.0,0.5106979113601631,1.0,0.9946510443199184,1854.0,0.0560366785532348,4.0,0.998471726948548,Core Moat,5,18333100.0,2025,18333100.0,xbrl,125215073000.0,40.09213453070153,4.8744546143830405,0.02494254825056086,0.20515115620305552,False,75.59396187059303,82.75020929843166,78.62964849719816
20260430,6777,6777.T,santec Holdings Corporation,Standard Market(Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,-,,False,2026-06-01,25380.0,25380.0,150300.0,6644598083.333333,1222.0,0.003029606562102,0.5776400668276193,-0.6218053398486106,5.088906370455208,17.217455545476266,1222.0,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ株式会社,24026716000.0,7429087000.0,7887932000.0,5067844000.0,29527373000.0,21428211000.0,6001678000.0,,-700473000.0,,,350.0,0.2553557856733508,0.3657576332554233,0.3092010993096185,0.2365033646532601,0.7257066519259943,0.2497918566981854,,,298478436352.0,280270340096.0,38.927574,57.394844,12.032057,0.92,1.185,11760380.0,11098999808.0,0.92,38.927574,12.032057,False,0.3282983825171946,0.2109253715738763,1.0355377253305107,0.7183191557220214,-1.3606144055403482,0.5959171156087733,general_operating_margin_ocf_leverage_quality,0.3890785348098691,1.0355377253305107,0.7183191557220214,-1.3606144055403482,0.5959171156087733,0.0599310669096628,-1.0149914471465058,1.0408520110819046,3.002258106600157,0.927163440076188,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,2.1906491179855268,0.0,2.375771403005273,-0.6316485798498609,-0.6525572050265103,0.9723460085165826,半導体・光通信・データセンター・電力;電子部品・精密機器・省人化,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter; automation: robot, automation, factory, fa, control, sensor",-0.3948089729194864,0.3641887837874282,5.109614166478054,1.065049150073305,0.7686452854279032,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,,True,True,208.0,0.8945491594498217,486.0,0.7529291900152827,2.0,0.957208354559348,1897.0,0.0341314314824248,1.0,0.9946510443199184,213.0,0.8920020376974019,5.0,0.9979623025980642,Future Moat,7,11760500.0,2025,11760380.0,yfinance,298478444400.0,58.89653359495675,13.929228361621043,0.016978927942978787,0.07179148579079099,False,89.3783720073216,87.40629011553273,95.72083545593479
20260430,6627,6627.T,"Tera Probe,Inc.",Standard Market(Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,-,,False,2026-06-01,11040.0,11040.0,95500.0,1317274283.3333333,1222.0,0.0023263326203263,0.5998656684228829,-0.7400823272046615,3.1645008510296124,6.241571894274277,1222.0,株式会社テラプローブ,41746379000.0,8893949000.0,8750990000.0,6952842000.0,100572987000.0,59928689000.0,20140044000.0,,11838381000.0,,,1127.0,0.0858898018658074,0.1123056961888198,0.2130471962610218,0.1160185900278913,0.5958726173659334,0.4824381055899483,,,,,,,,,,,,,,,False,0.2096227315906847,0.1665495826596122,0.3918096016134114,1.547177052584381,-1.5000750447413025,0.3363018990736263,general_operating_margin_ocf_leverage_quality,0.291172994577254,0.3918096016134114,1.547177052584381,-1.5000750447413025,0.3363018990736263,0.0057916882653901,0.0,0.1144085325854083,0.0,0.0289584413269506,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,2.1906491179855268,0.0,2.375771403005273,-0.6316485798498609,-0.6525572050265103,0.9723460085165826,半導体・光通信・データセンター・電力;電子部品・精密機器・省人化,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter; automation: robot, automation, factory, fa, control, sensor",0.0,0.3805036229944984,5.107432057729099,1.4190347673181185,0.7493433520355965,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,,True,True,402.0,0.7957208354559347,816.0,0.5848191543555782,2.0,0.957208354559348,62.0,0.5106979113601631,23.0,0.9887926642893532,110.0,0.9444727457972492,6.0,0.9974528782475802,Future Moat,8,9097000.0,2025,9097000.0,xbrl,100430880000.0,14.444579640958331,1.67583976348957,0.06923012125354273,0.5967157611284497,False,75.89913544865774,58.848160964447175,95.72083545593479
20260430,6524,6524.T,"KOHOKU KOGYO CO.,LTD.",Standard Market(Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,-,,False,2026-06-01,6070.0,6070.0,171400.0,1717554650.0,1084.0,0.0017976296840307,0.5438920731585133,-0.5850666409072383,2.3767692198368775,2.7447741188807093,1084.0,湖北工業株式会社,17454000000.0,4624000000.0,4547000000.0,2992000000.0,28319000000.0,23441000000.0,3343000000.0,,-3646000000.0,641000000.0,,1710.0,0.1382337235828095,0.2823342868880141,0.2649249455712157,0.1276396058188643,0.8277481549489741,0.1915320270425117,0.0367251059928956,,,,,,,,,,,,,,False,0.2605133493755013,0.1714220236049043,0.7722001105681365,0.5107545802775781,-1.148853353823924,0.8299250392403015,general_operating_margin_ocf_leverage_quality,0.3341730208515178,0.7722001105681365,0.5107545802775781,-1.148853353823924,0.8299250392403015,0.0820214316395008,0.0,0.4001092743155155,0.0,0.4101071581975043,1.3862943611198906,1.3862943611198906,0.0,0.0,0.7071067811865475,2.1906491179855268,0.7071067811865475,2.375771403005273,-0.6316485798498609,-0.6525572050265103,1.1491227038132197,半導体・光通信・データセンター・電力;電子部品・精密機器・省人化,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter; automation: robot, automation, factory, fa, control, sensor",0.0,0.4654940753092964,3.7070682133651744,0.8708229281976265,0.7491186038260512,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,,True,True,297.0,0.8492103922567499,416.0,0.7885888945491595,1.0,1.0,62.0,0.5106979113601631,41.0,0.979623025980642,278.0,0.8588894549159449,7.0,0.9969434538970964,Future Moat,9,25905600.0,2025,25905600.0,xbrl,157246992000.0,52.5558128342246,6.708203233650441,0.01902739099772414,0.14907121402996376,False,85.81450864720179,78.56862197912596,100.0
20260430,6387,6387.T,SAMCO INC.,Prime Market (Domestic),3600,Machinery,8,MACHINERY,7,TOPIX Small 2,False,2026-06-01,11050.0,11050.0,175200.0,1829675283.3333333,1222.0,0.0015876345592363,0.5170593993152873,-0.7019717216018018,3.5000342331276997,2.6697164395525848,1222.0,サムコ　株式会社,9342282000.0,2342740000.0,2373332000.0,1697328000.0,17774224000.0,13558675000.0,1206003000.0,,-404592000.0,,,191.0,0.092268013589934,0.122594867641957,0.2507674249182373,0.125183913619878,0.762827958058816,0.1290908366927909,,,,,,,,,,,,,,,False,0.2540419995885373,0.1816823769610037,0.6685296352905628,0.2882929074270931,-0.9804843749412798,0.4381463902499121,general_operating_margin_ocf_leverage_quality,0.1975910022701967,0.6685296352905628,0.2882929074270931,-0.9804843749412798,0.4381463902499121,0.012722425036287,0.0,0.1624347016224892,0.0,0.0636121251814353,1.0986122886681098,1.3862943611198906,0.0,0.0,0.0,1.6228956389961116,0.0,2.375771403005273,-0.6316485798498609,-0.6525572050265103,0.8020199648197579,半導体・光通信・データセンター・電力;電子部品・精密機器・省人化,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter; automation: robot, automation, factory, fa, control, sensor",0.0,0.3030638963860581,5.109614166478054,1.067502982424961,0.7072750147913675,True,True,0.0,3.0,0.0,3.0,0.0,3.0,1.0,3.0,,True,True,706.0,0.6408558329088131,767.0,0.6097809475292919,169.0,0.8818135506877228,62.0,0.5106979113601631,1.0,0.9946510443199184,212.0,0.8925114620478859,8.0,0.9964340295466124,Future Moat,10,8032481.0,2025,8032481.0,xbrl,88758915050.0,52.29331929361915,6.546282365349121,0.01912290161550369,0.1527584580361542,False,79.58655616270232,60.987553719930794,88.18135506877228
20260430,8473,8473.T,"SBI Holdings,Inc.",Prime Market (Domestic),7100,Securities and Commodities Futures,16,FINANCIALS (EX BANKS),4,TOPIX Mid400,True,2026-06-01,2911.0,2911.0,2920900.0,11570306420.0,1222.0,0.0009976879686571,0.3193809469454736,-0.3174396791500968,0.5681549613673558,1.6347975092028215,1222.0,ＳＢＩホールディングス株式会社,176300000000.0,131256000000.0,112730000000.0,59680000000.0,2209943000000.0,571359000000.0,,,,,,19156.0,0.5654236266123918,0.8058963727044945,0.744503686897334,0.1044527171183091,0.2585401523930707,,,,1881560842240.0,-1703848443904.0,4.6614037,7.1542673,1.0482572,3.26,0.45,646362398.0,883399000064.0,0.0326,4.6614037,1.0482572,True,0.6394214407260351,0.3385138967668746,0.0907482858491979,1.276241950478389,0.7957896349590099,0.8402616248037744,financial_sector_relative_roe_profit_stability_valuation,0.6780326396193734,0.0907482858491979,1.276241950478389,0.7957896349590099,0.8402616248037744,1.0673901772024708,1.989354357412007,0.4021905537105766,-0.2098081798519677,0.1818140445246376,0.0,0.0,0.0,0.0,0.0,-0.5452650101398884,0.0,-0.4374900164137864,-0.6316485798498609,-0.6525572050265103,-0.411080513804854,,,1.7418294328306383,0.6082075969695693,0.4918640554124197,-0.4770781136489973,0.705101813875711,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,,True,True,59.0,0.9704533876719308,8.0,0.9964340295466124,1074.0,0.2269485481406011,6.0,0.9974528782475802,459.0,0.7666836474783495,1231.0,0.3734080489047376,9.0,0.9959246051961284,Transformation Moat,12,303024207.0,2025,646362398.0,yfinance,1881560940578.0,31.52749565311662,3.293132584903712,0.03171834550395524,0.30366223473180903,False,55.46025101051907,97.13992297817714,22.69485481406011
20260430,6800,6800.T,"YOKOWO CO.,LTD.",Prime Market (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS,7,TOPIX Small 2,False,2026-06-01,5170.0,5170.0,121000.0,835476995.0,1222.0,0.001117362053713,0.425757660455745,-0.6154404403033261,3.166816847624265,1.5316301037784092,1222.0,株式会社ヨコオ,82884000000.0,4226000000.0,3926000000.0,2240000000.0,76278000000.0,52030000000.0,7239000000.0,,-4615000000.0,,,7733.0,0.0310835666238158,-0.1723297192152675,0.0509869214806235,0.0430520853353834,0.6821101759353942,0.0873389315187491,,,,,,,,,,,,,,,False,0.0473674050480189,0.027025722696781,-0.0033299281382772,0.1395417606649832,-0.4075865477695826,-0.1012603006385837,general_operating_margin_ocf_leverage_quality,-0.0680494043637845,-0.0033299281382772,0.1395417606649832,-0.4075865477695826,-0.1012603006385837,-0.0981279469503944,0.0,-0.4304116397685855,0.0,-0.4906397347519721,1.3862943611198906,1.3862943611198906,0.0,0.0,0.0,2.1906491179855268,0.0,2.375771403005273,-0.6316485798498609,-0.6525572050265103,0.9723460085165826,半導体・光通信・データセンター・電力;電子部品・精密機器・省人化,"ai_infrastructure: semiconductor, chip, gpu, hbm, data center, datacenter; automation: robot, automation, factory, fa, control, sensor",0.0,0.2467569945082408,5.109614166478054,0.5729492791584487,0.7004234832402013,True,True,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,,True,True,1582.0,0.1946001018848701,1571.0,0.2002037697401935,2.0,0.957208354559348,62.0,0.5106979113601631,1.0,0.9946510443199184,394.0,0.7997962302598064,10.0,0.9954151808456444,Future Moat,13,23310778.0,2025,23310778.0,xbrl,120516722260.0,53.80210815178572,2.316292951374207,0.01858663227802923,0.4317243202794022,False,40.951933535561786,23.09365407155216,95.72083545593479
