rank,code,ticker,company_name,sector,final_exploratory_weighted_score,bm_raw,ep_raw,gross_profitability,gross_profitability_definition_status,gross_profitability_source,gross_profitability_proxy_flag,gross_profitability_proxy_note,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,distress_review_flag,anomaly_flags,anomaly_flag_bool,anomaly_penalty,gp_missing_review_flag,normalization_top1200_count,normalization_core_flag,normalization_robust_flag,normalization_fragile_flag,sector_adjusted_candidate_flag,outlier_sensitive_flag,phase2_review_required,phase2_review_reasons,phase3_review_required,phase3_review_reasons,phase1_top5_flag,top100_flag,top300_flag,top1200_flag,top2000_reference_flag,phase3_priority_flag,phase3_handoff_note
1,7261,7261.T,Mazda Motor Corporation,Transportation Equipment,1.0,2.5609190009374183,0.1628279785698918,0.2279626242047051,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.5,-0.0415734057274953,8166730167.29655,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
2,7211,7211.T,MITSUBISHI MOTORS CORPORATION,Transportation Equipment,0.9931305702633936,2.08613505000056,0.1085296350500257,0.2371500267107117,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.8333333333333334,-0.0523004660404182,5211658271.408691,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
3,9533,9533.T,"TOHO GAS CO.,LTD.",Electric Power and Gas,0.9905049928140924,3.7970202710801617,0.2155456004765327,0.2277964850777249,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.6666666666666666,-0.0772013990593917,1168177015.8333333,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
4,9507,9507.T,"Shikoku Electric Power Company,Incorporated",Electric Power and Gas,0.9898966402528044,1.5210845189509965,0.236369625854869,0.3592865040089916,gross_profit_over_total_assets_derived_from_revenue_minus_cost,derived_revenue_minus_cost_of_sales_panel_confirmed,True,Gross profit was reconstructed as revenue minus cost of sales in the point-in-time panel.,1.0,-0.0284462935638381,1122384626.6666667,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
5,7419,7419.T,"Nojima Co.,Ltd.",Retail Trade,0.9898935704779284,1.4375356459111268,0.2251948479761692,0.394318782962761,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.8333333333333334,-0.0195499046929336,1256600990.0,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
6,8012,8012.T,"NAGASE & CO.,LTD.",Wholesale Trade,0.9858411683359852,3.2318551329825733,0.2088792088339837,0.2243303474756324,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.8333333333333334,-0.0125599898530377,1227580922.5,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
7,2695,2695.T,"Kura Sushi,Inc.",Retail Trade,0.9828227566197852,1.3266371658947702,0.0561211599892185,0.8835641033443901,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.6666666666666666,-0.0719613640590827,922079620.0,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
8,4022,4022.T,"Rasa Industries,Ltd.",Chemicals,0.9826186177217648,1.7852927535571048,0.2005148190762024,0.2101531480431083,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,1.0,-0.0423021040139306,2427613683.3333335,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
9,1333,1333.T,Umios Corporation,"Fishery, Agriculture and Forestry",0.9818830469903836,4.33046990092831,0.4689838080262125,0.2137340706477141,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,1.0,-0.0138269283642717,835708894.1666666,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
10,1515,1515.T,"Nittetsu Mining Co.,Ltd.",Mining,0.980881397611317,3.9995725898048793,0.2524422441216311,0.1425228683606809,original_gross_profit_over_total_assets,direct_xbrl_gross_profit_panel_confirmed,False,Gross Profit / Total Assets was confirmed from direct XBRL gross profit in the point-in-time panel.,0.8333333333333334,-0.0345753965888674,2948757588.3333335,False,False,none,False,0.0,False,4,True,True,False,False,False,False,none,True,top300_priority_due_diligence,False,True,True,True,True,high,Top100 and normalization core. Prioritize Phase3 moat review.
